,empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,has_ebikes,extra.renting,extra.returning,total_bikes
0,2,1,45.51195046,-122.6141596,SE 47th at Hawthorne,2023-04-22T01:56:16.525000Z,1,True,1,1,3
1,6,0,45.54827571,-122.6111636,NE 50th at Fremont,2023-04-22T01:56:16.085000Z,0,True,1,1,6
2,4,2,45.553917,-122.6020709,NE Cully at Skidmore,2023-04-22T01:56:16.415000Z,2,True,1,1,6
3,3,0,45.51658489,-122.6160378,SE Belmont at 45th,2023-04-22T01:56:16.467000Z,0,True,1,1,3
4,0,4,45.49333654,-122.6233971,SE 37th at Gladstone,2023-04-22T01:56:16.324000Z,4,True,1,1,3
5,9,1,45.50280906,-122.6535398,SE Gideon at 12th Ave MAX station,2023-04-22T01:56:16.451000Z,1,True,1,1,10
6,5,12,45.52175423,-122.6810794,SW 10th at Harvey Milk,2023-04-22T01:56:16.234000Z,12,True,1,1,17
7,13,5,45.50512504,-122.6533681,SE Elliott at Division,2023-04-22T01:56:16.231000Z,5,True,1,1,18
8,4,2,45.50356665,-122.6395279,SE Clinton at 26th,2023-04-22T01:56:16.226000Z,2,True,1,1,6
9,13,1,45.51623176,-122.6360679,SE 29th at Belmont,2023-04-22T01:56:16.169000Z,1,True,1,1,14
10,14,1,45.51147657,-122.6662856,SE Clay at Water,2023-04-22T01:56:16.361000Z,1,True,1,1,16
11,16,2,45.51844688,-122.651685,SE 14th at Stark,2023-04-22T01:56:16.513000Z,2,True,1,1,18
12,9,1,45.51515295,-122.665776,SE Water at Taylor,2023-04-22T01:56:16.486000Z,1,True,1,1,10
13,9,2,45.51645917,-122.6189983,SE Belmont at 42nd,2023-04-22T01:56:16.391000Z,2,True,1,1,11
14,3,2,45.52373453,-122.6372065,NE 28th at Couch,2023-04-22T01:56:16.442000Z,2,True,1,1,5
15,12,2,45.52536699,-122.6725459,NW 2nd at Everett,2023-04-22T01:56:16.457000Z,2,True,1,1,14
16,6,4,45.52976024,-122.6966429,NW 22nd at Lovejoy,2023-04-22T01:56:16.365000Z,4,True,1,1,10
17,16,1,45.53232501,-122.6824299,NW 11th at The Fields,2023-04-22T01:56:16.166000Z,1,True,1,1,18
18,9,6,45.52196048,-122.6896772,SW Morrison at 18th,2023-04-22T01:56:16.466000Z,6,True,1,1,18
19,3,3,45.51299715,-122.6567262,SE 9th at Madison,2023-04-22T01:56:16.352000Z,3,True,1,1,6
20,4,13,45.52374151,-122.6818129,NW Couch at 11th,2023-04-22T01:56:16.415000Z,13,True,1,1,18
21,3,4,45.52634601,-122.6941484,NW Glisan at 21st,2023-04-22T01:56:16.267000Z,4,True,1,1,10
22,8,4,45.52826831,-122.6945615,NW 21st at Johnson,2023-04-22T01:56:16.153000Z,4,True,1,1,12
