,latitude,longitude,name,empty_slots,free_bikes,extra.renting,extra.returning,ebikes,total_bikes
0,45.51195046,-122.6141596,SE 47th at Hawthorne,2,1,1,1,1,3
1,45.54827571,-122.6111636,NE 50th at Fremont,6,0,1,1,0,6
2,45.553917,-122.6020709,NE Cully at Skidmore,4,2,1,1,2,6
3,45.51658489,-122.6160378,SE Belmont at 45th,3,0,1,1,0,3
4,45.49333654,-122.6233971,SE 37th at Gladstone,0,4,1,1,4,3
5,45.50280906,-122.6535398,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
6,45.52175423,-122.6810794,SW 10th at Harvey Milk,5,12,1,1,12,17
7,45.50512504,-122.6533681,SE Elliott at Division,13,5,1,1,5,18
8,45.50356665,-122.6395279,SE Clinton at 26th,4,2,1,1,2,6
9,45.51623176,-122.6360679,SE 29th at Belmont,13,1,1,1,1,14
10,45.51147657,-122.6662856,SE Clay at Water,14,1,1,1,1,16
11,45.51844688,-122.651685,SE 14th at Stark,16,2,1,1,2,18
12,45.51515295,-122.665776,SE Water at Taylor,9,1,1,1,1,10
13,45.51645917,-122.6189983,SE Belmont at 42nd,9,2,1,1,2,11
14,45.52373453,-122.6372065,NE 28th at Couch,3,2,1,1,2,5
15,45.52536699,-122.6725459,NW 2nd at Everett,12,2,1,1,2,14
16,45.52976024,-122.6966429,NW 22nd at Lovejoy,6,4,1,1,4,10
17,45.53232501,-122.6824299,NW 11th at The Fields,16,1,1,1,1,18
18,45.52196048,-122.6896772,SW Morrison at 18th,9,6,1,1,6,18
19,45.51299715,-122.6567262,SE 9th at Madison,3,3,1,1,3,6
20,45.52374151,-122.6818129,NW Couch at 11th,4,13,1,1,13,18
21,45.52634601,-122.6941484,NW Glisan at 21st,3,4,1,1,4,10
22,45.52826831,-122.6945615,NW 21st at Johnson,8,4,1,1,4,12
23,45.56282546,-122.6747467,N Killingsworth at Albina,13,1,1,1,1,15
24,45.5286366,-122.6820195,NW Johnson at Jamison Square,0,15,1,1,15,14
25,45.5282777,-122.6766282,NW Station at Irving,4,8,1,1,8,12
26,45.53211645,-122.6986304,NW 23rd at Overton,12,2,1,1,2,14
27,45.5475928,-122.6667604,N Williams at Fremont,15,3,1,1,3,18
28,45.5027677,-122.6714408,Tilikum West at SW Moody,12,7,1,1,7,19
29,45.52914205,-122.6987028,NW Kearney at 23rd,14,3,1,1,3,18
30,45.54998583,-122.6756573,N Mississippi at Beech,15,2,1,1,2,18
31,45.55076344,-122.6668663,N Failing at Williams,8,4,1,1,4,12
32,45.54107815,-122.6769716,N Russell at Interstate,11,1,1,1,1,12
33,45.52142066,-122.6726291,SW 2nd at Pine,9,7,1,1,7,18
34,45.52279251,-122.6840124,SW Harvey Milk at Burnside,11,6,1,1,6,18
35,45.50910258,-122.6735169,SW River at Montgomery,18,8,1,1,8,27
36,45.5123205,-122.6789108,SW Market at Keller Fountain Park,11,1,1,1,1,12
37,45.50473239,-122.62528,SE 37th at Division,3,0,1,1,0,3
38,45.54830706,-122.6136768,NE 48th at Fremont,12,0,1,1,0,12
39,45.51189243,-122.6113057,SE 50th at Hawthorne,3,2,1,1,2,5
40,45.53290424,-122.68626,NW Pettygrove at 15th,17,1,1,1,1,18
41,45.52642975,-122.6347187,NE 30th at Glisan,3,0,1,1,0,3
42,45.50523618,-122.6121104,SE 49th at Division,2,0,1,1,0,3
43,45.56267617,-122.6946044,N Burrage at Killingsworth,2,0,1,1,0,3
44,45.53893649,-122.6432884,NE 22nd at Thompson (Irvington Tennis Club),9,1,1,1,1,12
45,45.5178988,-122.6600522,SE Alder at 6th,9,8,1,1,8,18
46,45.51649676,-122.6307517,SE Belmont at 33rd,12,0,1,1,0,12
47,45.51633325,-122.6566324,SE 9th at Belmont,15,3,1,1,3,18
48,45.55335313,-122.6669146,N Mason at Williams,10,1,1,1,1,12
49,45.51222277,-122.6454261,SE Hawthorne at 20th,12,1,1,1,1,13
50,45.54125782,-122.6966717,NW Nicolai at Sherlock,1,1,1,1,1,2
51,45.52643433,-122.6362449,NE 28th at Glisan,2,1,1,1,1,3
52,45.55905507,-122.6427104,NE Alberta at 22nd,0,6,1,1,6,5
53,45.55908767,-122.6407517,NE Alberta at 24th,4,1,1,1,1,5
54,45.53561394,-122.6636343,NE 2nd at Schuyler,12,0,1,1,0,12
55,45.56197102,-122.6820369,N Interstate at Willamette,7,1,1,1,1,8
56,45.49429475,-122.6719048,SW Moody at Thomas,11,4,1,1,4,15
57,45.53146071,-122.659741,NE Multnomah at Grand,6,2,1,1,2,8
58,45.53140997,-122.6574612,NE Multnomah at 9th,8,0,1,1,0,8
59,45.55645437,-122.6603794,NE Going at Grand,17,1,1,1,1,18
60,45.52440674,-122.6497686,NE Sandy at 16th,16,1,1,1,1,18
61,45.52297292,-122.6434118,NE 22nd at Burnside,11,0,1,1,0,11
62,45.50624163,-122.6633379,SE 2nd Pl at Tilikum Way,16,0,1,1,0,18
63,45.51202353,-122.6363119,SE 29th at Hawthorne,18,0,1,1,0,18
64,45.55916922,-122.6514316,NE Alberta at 14th,1,2,1,1,2,3
