,ll,fsq_id,cat_id,category_name,categories,name,address,city,country,rating,popularity,price
0,"45.51195046,-122.6141596",40b13b00f964a520fff51ee3,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Space Room Lounge,"4800 SE Hawthorne Blvd (at SE 48th Ave), Portland, OR 97215",Portland,US,7.5,0.987998799879988,2.0
1,"45.51195046,-122.6141596",40b13b00f964a52044f51ee3,13007,Beer Garden,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}, {'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bar of the Gods,"4801 SE Hawthorne Blvd (at SE 48th Ave.), Portland, OR 97215",Portland,US,5.8,0.9362561256125612,1.0
2,"45.51195046,-122.6141596",4e0f614314956c628503e1ba,13145,Fast Food Restaurant,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Kure Juice Bar,"4409 SE Hawthorne Blvd (at SE 44th), Portland, OR 97215",Portland,US,8.8,0.9190544054405441,1.0
3,"45.51195046,-122.6141596",42814b00f964a52004221fe3,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Sapphire Hotel,"5008 SE Hawthorne Blvd (at SE 50th Ave), Portland, OR 97215",Portland,US,7.9,0.9074032403240324,2.0
4,"45.51195046,-122.6141596",6121a43753100a0548a89557,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}]",Mighty Moe's Tanker,"4825 SE Hawthorne Blvd, Portland, OR 97215",Portland,US,,0.894039403940394,2.0
5,"45.51195046,-122.6141596",40cf8d80f964a52027011fe3,13010,Dive Bar,"[{'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}]",Angelo's,"4620 SE Hawthorne Blvd, Portland, OR 97215",Portland,US,6.1,0.8872637263726373,1.0
6,"45.51195046,-122.6141596",5aacb712bed48329b2f03fd5,13024,Whisky Bar,"[{'id': 13024, 'name': 'Whisky Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/whiskey_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Cavern,"4601 SE Hawthorne Blvd (46th), Portland, OR 97215",Portland,US,,0.8831383138313832,2.0
7,"45.51195046,-122.6141596",4cc2445a1e596dcbc0efc167,13006,Beer Bar,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}]",Hawthorne Hophouse,"4111 SE Hawthorne Blvd (at SE 41st Ave), Portland, OR 97214",Portland,US,8.0,0.8402090209020903,2.0
8,"45.51195046,-122.6141596",630aba5429a077074c5130dc,13059,Juice Bar,"[{'id': 13059, 'name': 'Juice Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/juicebar_', 'suffix': '.png'}}]",Happy Day Juice Co.,"4703 SE Hawthorne Blvd (47th Ave), Portland, OR 97215",Portland,US,,0.036353635363536356,1.0
9,"45.51195046,-122.6141596",2e01c5ac575b48b4ca4eb021,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Spaceroom Lounge and Genie's Too,"4800 SE Hawthorne Blvd, Portland, OR 97215",Portland,US,,,
