,lat,business_id,category_name,name,address,city,state,country,transactions,reviews,rating,price_scale,price,distance_4rm_bike
0,-122.6141596,0Ix62hICO6ypSXfhCvgE6Q,Mexican,Por Qué No? Taqueria,"['4635 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],1343,4.0,2,$$,30
1,-122.6141596,iaOWsQlhHTkHMTThpB1UNQ,Pizza,Apizza Scholls,"['4741 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],1710,4.0,2,$$,83
2,-122.6141596,kn1I-YXK40V4uD6hcM-GLw,Lounges,Sapphire Hotel,"['5008 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",485,4.5,2,$$,226
3,-122.6141596,fFHFO9QTJG0PwcE_9BOViA,Fast Food,Zach's Shack,"['4611 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",267,3.5,1,$,59
4,-122.6141596,UjvvCU5eZq447qCBCo9AtA,Whiskey Bars,The Cavern,"['4601 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],44,4.5,2,$$,70
5,-122.6141596,iis2N7u4j8L18wNCz8GGJg,Korean,Toji Korean Grill House,"['4615 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],287,3.5,2,$$,55
6,-122.6141596,GFFcygNKE-xs9UNxWHJJCA,Delis,East Side Delicatessen,"['4626 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",407,4.0,1,$,33
7,-122.6141596,s6noTB-rtrRRYloVYKZsMA,Arcades,QuarterWorld Arcade,"['4811 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,[],143,3.5,1,$,113
8,-122.6141596,4droZrSKvd4UmQvCayFj8A,Bakeries,JaCiva's Bakery,"['4733 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],241,4.0,2,$$,72
9,-122.6141596,e7JuZmr7Zat7CQ5_ehJXZg,Lounges,Space Room Lounge,"['4800 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],216,3.5,1,$,99
10,-122.6141596,b_xHd3q2Mq1yRUZKUgHgIw,Dive Bars,Bar of the Gods,"['4801 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],190,4.0,1,$,93
