,lat,category,name,transactions,reviews,rating,price_scale,Distance_from_Bike_Station
0,-122.6141596,Mexican,Por Qué No? Taqueria,['delivery'],1343,4.0,2,30
1,-122.6141596,Pizza,Apizza Scholls,['delivery'],1710,4.0,2,83
2,-122.6141596,Lounges,Sapphire Hotel,"['delivery', 'pickup']",485,4.5,2,226
3,-122.6141596,Fast Food,Zach's Shack,"['delivery', 'pickup']",267,3.5,1,59
4,-122.6141596,Whiskey Bars,The Cavern,['delivery'],44,4.5,2,70
5,-122.6141596,Korean,Toji Korean Grill House,['delivery'],287,3.5,2,55
6,-122.6141596,Delis,East Side Delicatessen,"['delivery', 'pickup']",407,4.0,1,33
7,-122.6141596,Arcades,QuarterWorld Arcade,[],143,3.5,1,113
8,-122.6141596,Bakeries,JaCiva's Bakery,['delivery'],241,4.0,2,72
9,-122.6141596,Lounges,Space Room Lounge,['delivery'],216,3.5,1,99
10,-122.6141596,Dive Bars,Bar of the Gods,['delivery'],190,4.0,1,93
11,-122.6141596,Burgers,Next Level Burger,"['delivery', 'pickup']",404,4.0,2,431
12,-122.6141596,British,Horse Brass Pub,[],719,4.0,2,500
13,-122.6141596,Greek,Kouzina,['delivery'],50,4.0,1,57
14,-122.6141596,Coffee & Tea,Common Grounds Coffeehouse,['delivery'],167,4.0,1,290
15,-122.6141596,Vegetarian,The Whole Bowl,"['delivery', 'pickup']",275,4.5,1,218
16,-122.6141596,American (Traditional),Genie's Too,[],48,3.0,2,99
17,-122.6141596,Bakeries,Tabor Bread,['delivery'],201,4.5,2,523
18,-122.6141596,Juice Bars & Smoothies,Kure Juice Bar,"['delivery', 'pickup']",251,4.5,1,221
19,-122.6141596,Dive Bars,Angelo's,['delivery'],41,4.0,1,44
20,-122.6111636,Coffee & Tea,Pip's Original Doughnuts & Chai,['delivery'],2962,4.5,1,207
21,-122.6111636,Hawaiian,Noho's Hawaiian Cafe,['delivery'],354,4.0,2,341
22,-122.6111636,Thai,Bang Bang,"['pickup', 'delivery']",254,4.0,2,253
23,-122.6111636,Coffee & Tea,Jim & Patty's Coffee,['delivery'],265,4.0,2,40
24,-122.6111636,Pizza,Pizza Nostra,"['pickup', 'delivery']",154,4.0,2,157
25,-122.6111636,Vegan,Dirty Lettuce,"['pickup', 'delivery']",95,5.0,2,245
26,-122.6111636,Italian,Amalfi's Restaurant & Mercato,"['pickup', 'delivery']",408,3.5,2,288
27,-122.6111636,Pizza,Red Sauce Pizza,['delivery'],266,4.5,2,316
28,-122.6111636,Barbeque,Fire On The Mountain,[],588,3.5,2,472
29,-122.6111636,Bakeries,Grand Central Bakery,['delivery'],126,4.0,2,459
30,-122.6111636,Coffee & Tea,Prince Coffee,['delivery'],63,4.0,2,490
31,-122.6111636,Pubs,McPeets Portland Pub,['delivery'],64,3.5,1,454
32,-122.6111636,Coffee & Tea,Starbucks,['delivery'],25,4.0,1,322
33,-122.6020709,Tacos,Nico's Cantina,"['delivery', 'pickup']",21,3.5,2,31
34,-122.6020709,Beer Gardens,Cully Central,"['delivery', 'pickup']",205,5.0,2,323
35,-122.6020709,Mexican,Pinches Burros,"['delivery', 'pickup']",67,4.5,1,218
36,-122.6020709,Food Trucks,Mgwalexs Hawaiian Grill,"['delivery', 'pickup']",88,4.5,1,225
37,-122.6020709,Street Vendors,Khao Niew - Lao Street Food,[],85,4.5,1,326
38,-122.6020709,Coffee & Tea,Bison Coffee House,['delivery'],155,4.5,1,293
39,-122.6020709,Mexican,Tacos el Guero,['delivery'],27,4.0,1,249
40,-122.6020709,Sports Bars,Spirits Pub,[],7,3.5,1,220
41,-122.6020709,Convenience Stores,7-Eleven,[],5,2.5,1,202
42,-122.6020709,Thai,Diamond Thai,[],8,3.5,1,548
43,-122.6020709,Sports Bars,Cozy Pub,[],0,0.0,1,323
44,-122.6160378,British,Horse Brass Pub,[],719,4.0,2,59
45,-122.6160378,Bakeries,Tabor Bread,['delivery'],201,4.5,2,24
46,-122.6160378,Scandinavian,Viking Soul Food,"['delivery', 'pickup']",253,4.5,2,182
47,-122.6160378,Japanese,Musashi's Pdx,"['delivery', 'pickup']",96,4.5,2,198
48,-122.6160378,Breakfast & Brunch,Slappy Cakes,"['delivery', 'pickup']",881,3.5,2,196
49,-122.6160378,Burgers,Next Level Burger,"['delivery', 'pickup']",404,4.0,2,549
50,-122.6160378,Mexican,Por Qué No? Taqueria,['delivery'],1343,4.0,2,506
51,-122.6160378,Vietnamese,Bamboo House,"['restaurant_reservation', 'delivery', 'pickup']",147,4.5,2,631
52,-122.6160378,Food Trucks,Brazilian House,"['delivery', 'pickup']",93,4.5,1,177
53,-122.6160378,Coffee & Tea,Kind Coffee,['delivery'],105,5.0,1,190
54,-122.6160378,Pizza,Apizza Scholls,['delivery'],1710,4.0,2,545
55,-122.6160378,Coffee & Tea,Red Square Cafe,"['delivery', 'pickup']",87,4.0,1,11
56,-122.6160378,Mexican,Poblano Pepper,['pickup'],77,4.5,1,153
57,-122.6160378,Coffee & Tea,Never Coffee,['delivery'],174,4.0,2,205
58,-122.6160378,Thai,Sivalai Thai Restaurant,"['delivery', 'pickup']",943,4.5,2,356
59,-122.6160378,Burgers,Monster Smash Burgers,['delivery'],56,4.5,2,281
60,-122.6160378,Beer Gardens,Belmont Station,[],299,4.0,2,281
61,-122.6160378,Coffee & Tea,Common Grounds Coffeehouse,['delivery'],167,4.0,1,495
62,-122.6160378,Vegetarian,The Whole Bowl,"['delivery', 'pickup']",275,4.5,1,481
63,-122.6160378,Juice Bars & Smoothies,Kure Juice Bar,"['delivery', 'pickup']",251,4.5,1,497
64,-122.6233971,Pizza,Gladstone Street Pizza,['delivery'],218,4.0,2,22
65,-122.6233971,American (Traditional),Gladstone Street Pub - The Stone,[],102,4.0,1,36
66,-122.6233971,Ramen,Hapa PDX,['delivery'],93,4.0,2,48
67,-122.6233971,Pizza,Saint Pizza Lounge,[],40,4.5,2,22
68,-122.6233971,Breakfast & Brunch,Cafe Rowan,['delivery'],204,4.5,2,311
69,-122.6233971,Coffee & Tea,Keeper Coffee,['delivery'],91,5.0,2,458
70,-122.6233971,Italian,DeNicola's Restaurant,"['delivery', 'pickup']",387,3.5,2,542
71,-122.6233971,Food Trucks,Bark City BBQ,['delivery'],106,4.5,2,437
72,-122.6233971,Southern,Matt & Memere's,"['delivery', 'pickup']",52,4.5,1,438
73,-122.6233971,Coffee & Tea,Coffee Beer,['delivery'],60,4.5,2,367
74,-122.6233971,Mexican,Tecos Mexican Restaurant,"['delivery', 'pickup']",136,3.5,1,552
75,-122.6233971,Donuts,Sesame Donuts,[],20,4.0,1,514
76,-122.6233971,Coffee & Tea,Starbucks,['delivery'],42,3.0,2,480
77,-122.6535398,Breakfast & Brunch,Pine State Biscuits,"['delivery', 'pickup']",1289,4.5,2,231
78,-122.6535398,Pizza,Virtuous Pie,['delivery'],398,4.5,2,212
79,-122.6535398,Cocktail Bars,Palomar,['delivery'],212,4.5,2,359
