,reviews,rating,ebikes,total_bikes
0,1343,4.0,1,3
1,1710,4.0,1,3
2,485,4.5,1,3
3,267,3.5,1,3
4,44,4.5,1,3
5,287,3.5,1,3
6,407,4.0,1,3
7,143,3.5,1,3
8,241,4.0,1,3
9,216,3.5,1,3
10,190,4.0,1,3
11,404,4.0,1,3
12,719,4.0,1,3
13,50,4.0,1,3
14,167,4.0,1,3
15,275,4.5,1,3
16,48,3.0,1,3
17,201,4.5,1,3
18,251,4.5,1,3
19,41,4.0,1,3
20,2962,4.5,0,6
21,354,4.0,0,6
22,254,4.0,0,6
23,265,4.0,0,6
24,154,4.0,0,6
25,95,5.0,0,6
26,408,3.5,0,6
27,266,4.5,0,6
28,588,3.5,0,6
29,126,4.0,0,6
30,63,4.0,0,6
31,64,3.5,0,6
32,25,4.0,0,6
33,21,3.5,2,6
34,205,5.0,2,6
35,67,4.5,2,6
36,88,4.5,2,6
37,85,4.5,2,6
38,155,4.5,2,6
39,27,4.0,2,6
40,7,3.5,2,6
41,5,2.5,2,6
42,8,3.5,2,6
43,0,0.0,2,6
44,719,4.0,0,3
45,201,4.5,0,3
46,253,4.5,0,3
47,96,4.5,0,3
48,881,3.5,0,3
49,404,4.0,0,3
50,1343,4.0,0,3
51,147,4.5,0,3
52,93,4.5,0,3
53,105,5.0,0,3
54,1710,4.0,0,3
55,87,4.0,0,3
56,77,4.5,0,3
57,174,4.0,0,3
58,943,4.5,0,3
59,56,4.5,0,3
60,299,4.0,0,3
61,167,4.0,0,3
62,275,4.5,0,3
63,251,4.5,0,3
64,218,4.0,4,3
65,102,4.0,4,3
66,93,4.0,4,3
67,40,4.5,4,3
68,204,4.5,4,3
69,91,5.0,4,3
70,387,3.5,4,3
71,106,4.5,4,3
72,52,4.5,4,3
73,60,4.5,4,3
74,136,3.5,4,3
75,20,4.0,4,3
76,42,3.0,4,3
77,1289,4.5,1,10
78,398,4.5,1,10
79,212,4.5,1,10
80,480,4.0,1,10
81,146,5.0,1,10
82,236,4.5,1,10
83,256,4.5,1,10
84,528,4.0,1,10
85,295,4.0,1,10
86,239,4.5,1,10
87,599,3.5,1,10
88,421,3.5,1,10
89,477,3.5,1,10
90,74,4.5,1,10
91,77,4.5,1,10
92,254,4.0,1,10
93,122,4.0,1,10
94,109,4.5,1,10
95,13,4.5,1,10
96,26,5.0,1,10
97,1971,4.0,12,17
98,2409,4.5,12,17
99,1054,4.0,12,17
100,597,4.0,12,17
101,228,4.0,12,17
102,225,4.0,12,17
103,3427,4.0,12,17
104,522,4.5,12,17
105,1812,4.0,12,17
106,925,4.5,12,17
107,714,4.0,12,17
108,1225,4.0,12,17
109,713,4.0,12,17
110,499,4.0,12,17
111,3285,4.0,12,17
112,233,4.0,12,17
113,30,4.5,12,17
114,576,4.5,12,17
115,842,3.5,12,17
116,1509,4.0,12,17
117,480,4.0,5,18
118,1289,4.5,5,18
119,398,4.5,5,18
120,236,4.5,5,18
121,528,4.0,5,18
122,212,4.5,5,18
123,256,4.5,5,18
124,477,3.5,5,18
125,239,4.5,5,18
126,421,3.5,5,18
127,122,4.0,5,18
128,77,4.5,5,18
129,84,4.5,5,18
130,252,4.0,5,18
131,13,4.5,5,18
132,599,3.5,5,18
133,254,4.0,5,18
134,59,4.0,5,18
135,12,4.5,5,18
136,56,2.0,5,18
137,160,4.5,2,6
138,310,4.5,2,6
139,1345,4.5,2,6
140,212,4.5,2,6
141,364,4.5,2,6
142,400,4.0,2,6
143,426,4.0,2,6
144,384,4.5,2,6
145,458,4.5,2,6
146,500,4.0,2,6
147,420,4.5,2,6
148,614,4.5,2,6
149,90,4.5,2,6
150,86,3.5,2,6
151,330,4.0,2,6
152,766,4.0,2,6
153,29,4.5,2,6
154,382,4.5,2,6
155,240,4.0,2,6
156,153,4.5,2,6
157,121,4.5,1,14
158,243,4.0,1,14
159,838,4.5,1,14
160,841,4.5,1,14
161,111,4.5,1,14
162,260,4.5,1,14
163,1110,4.5,1,14
164,84,4.5,1,14
165,508,4.0,1,14
166,507,4.5,1,14
167,214,3.5,1,14
168,608,4.5,1,14
169,453,4.0,1,14
170,527,4.0,1,14
171,138,4.5,1,14
172,486,4.0,1,14
173,340,4.5,1,14
174,243,4.0,1,14
175,68,4.5,1,14
176,336,4.0,1,14
177,314,4.5,1,16
178,604,4.0,1,16
179,490,4.0,1,16
180,789,4.5,1,16
181,640,3.5,1,16
182,305,4.5,1,16
183,38,4.5,1,16
184,84,4.0,1,16
185,20,4.0,1,16
186,383,3.5,1,16
187,72,3.5,1,16
188,22,3.5,1,16
189,14,4.0,1,16
190,17,3.5,1,16
191,0,0.0,1,16
192,7,3.0,1,16
193,1106,4.0,2,18
194,78,4.5,2,18
195,1076,4.5,2,18
196,120,4.0,2,18
197,1308,4.5,2,18
198,406,4.5,2,18
199,420,4.0,2,18
200,216,4.5,2,18
201,266,3.5,2,18
202,630,4.5,2,18
203,139,4.5,2,18
204,228,4.5,2,18
205,107,4.0,2,18
206,34,4.0,2,18
207,53,4.0,2,18
208,688,4.0,2,18
209,126,4.0,2,18
210,217,4.0,2,18
211,80,4.5,2,18
212,315,4.0,2,18
213,604,4.0,1,10
